http://bit.ly/musedata-menu								
This spreadsheet controls the file list menu on the musedata website (http://www.musedata.org)								
The SHORTCUT column for each file must be unique and is required.  This value will be used for the downloaded filename, and also to access data on the server in the form:    http://pdf.musedata.org/id?beet-sym1-study-2008								
LEVEL_1 should almost always be the composer's name								
LEVEL_2 could either be a genre, a collection (such as WTC), or a work name.								
The menu system allows up to 5 levels of categorization for the files (level 6 and higher are not allowed)								
The files will be listed in the menu in the order they are placed in this spreadsheet (with the exception that if more Beethoven files are added after another compoer's entries, they will be moved to the end of the Beethoven list).								
The DATA_URL column is the link to the data used to produce the PDF.  This must be the "raw/master" link to the data (not to the webpage where you can edit the data file).  Note in particular that there will be a long alphanumeric code when viewing the raw file on Bitbucket.  This string should be replaced with "master" (which means the most recent version of the file). 								
The URL column is an optional link to the CCARH wiki page related to the given work.								
LEVEL_1	LEVEL_2	LEVEL_3	LEVEL_4	LEVEL_5	SHORTCUT	DATA_URL	URL	NOTES
Corelli	Concerti grossi, op. 6	<i>concerti da chiesa<i>	Concerto grosso in F major, op. 6, no. 2		corelli-op6-no02	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n02.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da chiesa<i>	Concerto grosso in C minor, op. 6, no. 3		corelli-op6-no03	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n03.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da chiesa<i>	Concerto grosso in D major, op. 6, no. 4		corelli-op6-no04	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n04.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da chiesa<i>	Concerto grosso in B-flat major, op. 6, no. 5		corelli-op6-no05	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n05.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da chiesa<i>	Concerto grosso in F major, op. 6, no. 6		corelli-op6-no06	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n06.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da chiesa<i>	Concerto grosso in D major, op. 6, no. 7		corelli-op6-no07	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n07.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da chiesa<i>	Concerto grosso in G minor, op. 6, no. 8 ("Christmas Concerto")		corelli-op6-no08	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n08.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da camera</i>	Concerto grosso in F major, op. 6, no. 9		corelli-op6-no09	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n09.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da camera</i>	Concerto grosso in C major, op. 6, no. 10		corelli-op6-no10	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n10.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da camera</i>	Concerto grosso in B-flat major, op. 6, no. 11		corelli-op6-no11	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n11.iff	http://corelli.ccarh.org	
Corelli	Concerti grossi, op. 6	<i>concerti da camera</i>	Concerto grosso in F major, op. 6, no. 12		corelli-op6-no12	https://raw.githubusercontent.com/musedata/corelli/master/op6/pages-score/corelli-op6n12.iff	http://corelli.ccarh.org	
								
Beethoven	String quartets, op. 18	String Quartet No. 1 in F major, op. 18, no. 1			beet-quartet-no01	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op018n1.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String quartets, op. 18	String Quartet No. 2 in G major, op. 18, no. 2			beet-quartet-no02	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op018n2.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String quartets, op. 18	String Quartet No. 3 in D major, op. 18, no. 3			beet-quartet-no03	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op018n3.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String quartets, op. 18	String Quartet No. 4 in C minor, op. 18, no. 4			beet-quartet-no04	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op018n4.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String quartets, op. 18	String Quartet No. 5 in A major, op. 18, no. 5			beet-quartet-no05	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op018n5.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String quartets, op. 18	String Quartet No. 6 in B-flat major, op. 18, no. 6			beet-quartet-no06	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op018n6.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String quartets, op. 59 ("Razumovsky")	String Quartet No. 7 in F major, op. 59, no. 1			beet-quartet-no07	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op018n1.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String quartets, op. 59 ("Razumovsky")	String Quartet No. 8 in E minor, op. 59, no. 2			beet-quartet-no08	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op059n2.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String quartets, op. 59 ("Razumovsky")	String Quartet No. 9 in C major, op. 59, no. 3			beet-quartet-no09	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op059n3.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String Quartet No. 10 in E-flat major, Op. 74 ("The Harp")				beet-quartet-no10	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op074.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String Quartet No. 11 in F minor, op. 95				beet-quartet-no11	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op095.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String Quartet No. 12 in E-flat major, op. 127				beet-quartet-no12	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op127.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String Quartet No. 13 in B-flat major, op. 130				beet-quartet-no13	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op130.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String Quartets No. 14 in C-sharp minor, op. 131				beet-quartet-no14	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op131.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String Quartet No. 15 in A minor, op. 132				beet-quartet-no15	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op132.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	Grosse Fuge in B-flat major [Quartet No. 13b], op. 133				beet-quartet-no13b	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op133.iff	http://beethoven-string-quartets.ccarh.org	
Beethoven	String Quartets No. 16 in F major, op. 135				beet-quartet-no16	https://raw.githubusercontent.com/musedata/beethoven-quartets/master/pages-score/beethoven-op135.iff	http://beethoven-string-quartets.ccarh.org	
								
Beethoven	Symphony no. 1 in C major, op. 21	Study score, 2008 editon			beet-sym1-study-2008	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/score/edi2008.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Study score, 1. Adagio molto – Allegro con brio			beet-sym1-mvmt1-study	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/score/mvt1.md2	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Study score, 2. Andante cantabile con moto			beet-sym1-mvmt2-study	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/score/mvt2.md2	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Study score, 3. Menuetto: Allegro molto e vivace			beet-sym1-mvmt3-study	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/score/mvt3.md2	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Study score, 4. Adagio – Allegro molto e vivace			beet-sym1-mvmt4-study	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/score/mvt4.md2	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Conductor's score, 2009 editon			beet-sym1-cond-2009	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/skore/edi2009.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Conductor's score, 1. Adagio molto – Allegro con brio			beet-sym1-mvmt1-cond	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/skore/mvt1.md2	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Conductor's score, 2. Andante cantabile con moto			beet-sym1-mvmt2-cond	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/skore/mvt2.md2	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Conductor's score, 3. Menuetto: Allegro molto e vivace			beet-sym1-mvmt3-cond	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/skore/mvt3.md2	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Conductor's score, 4. Adagio – Allegro molto e vivace			beet-sym1-mvmt4-cond	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/skore/mvt4.md2	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Flute 1		beet-sym1-part-fl_1	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/fl_1.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Flute 2		beet-sym1-part-fl_2	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/fl_2.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Oboe 1		beet-sym1-part-ob_1	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/ob_1.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Oboe 2		beet-sym1-part-ob_2	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/ob_2.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Clarinet 1 in C		beet-sym1-part-cl_1	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/cl_1.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Clarinet 1 in B-flat (transposed)		beet-sym1-part-tcl_1	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/tcl_1.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Clarinet 2 in C		beet-sym1-part-cl_2	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/cl_2.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Clarinet 2 in B-flat (transposed)		beet-sym1-part-tcl_2	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/tcl_2.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Bassoon 1		beet-sym1-part-fag_1	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/fag_1.iff	http://beethoven.ccarh.org	
Beethoven	Symphony no. 1 in C major, op. 21	Parts	Bassoon 2		beet-sym1-part-fag_2	https://bitbucket.org/musedata/beethoven/raw/master/bhl/orch/sym1/editions/public/parts/fag_2.iff	http://beethoven.ccarh.org	
